Sentence,Polarity,Subjectivity
Good but VictoriaPolice & the Andrews Labor Govt’s response the week before the BLM protest was pathetic Should have arrested the organisers & made it clear everyone attending would be finedProtesters who broke the law still haven’t been fined & that changed the public mood https:twittercomaneekasimonisstatus1291519418992713729 …,-0.05,0.5125000000000001
Israel 🇮🇱 First Nation to offer Lebanon 🇱🇧 aid after the devastating blast  I doubt theprojecttv will mention that DvirAbramovich,-0.375,0.6666666666666666
How’s Andrews going to spin his hotel quarantine fiasco today given Judge Coate’s comments yesterday?,0.0,0.0
Let me guess theprojecttv was happy to peddle anti-Israel bile ? Why am I not surprised Beirut tragedy had nothing to do with Israel Appalling that this went unchallenged https:twittercomjodilee_7status1291137941612326912 …,0.13333333333333333,0.9333333333333332
“Not perfect?”😆🤦🏼‍♀️🤬There is mass confusionThe ABC  VECCI  & Labor might think it’s all hunky dory- speak to real people who are actually in businesses that are unlikely to survive Leave the echo chamber of govt funded entities & wake up to the awful reality of what’s going on https:twittercomraf_epsteinstatus1291143857514532864 …,-0.36,0.5800000000000001
I will be very interested to see how Andrews refuses to answer questions from the media about the hotel quarantine fiasco that caused Melbourne’s catastrophic and fatal second wave of Covid-19 at his press conference today,0.1625,0.325
Judge Coate said “there is no general restriction or prohibition which would prevent a person from commenting publicly or answering questions to which they know the answers on matters which are the subject of examination by this board of inquiry” https:wwwheraldsuncomaucoronavirushotel-inquiry-no-reason-for-mps-to-stay-silent-on-bunglesnews-story150ec04a0ed7ddadf08f922048f43e5a …,-0.06388888888888888,0.3
Andrews’ leadership superficial and a failure - brilliant analysis by Greg Sheridan of why Victoria is in crisis because of the failures of its state government https:wwwtheaustraliancomaucommentarydaniel-andrews-cleverly-leads-in-a-vacuum-of-democracynews-story075dce1f0b2dda2c693077e92e3ac467 …,0.29166666666666663,0.65
The Department of Justice website has crashed These clowns 🤡 in the Andrews Government can’t get anything right https:twittercom3aw693status1290742526576488449 …,0.2857142857142857,0.5357142857142857
And wouldn’t you know it the Justice Department website has crashed can the Andrews government get anything right ? No ‘worker permits‘ today it would appear https:twittercomrwillinghamstatus1290760932226809857 …,0.2857142857142857,0.5357142857142857
🥇 Gold   We all need a laugh at the moment and this is hilarious https:twittercommmmhotbreakfaststatus1290773669342412800 …,0.4,0.55
Tragic Devastating Infuriating   He who caused this ought to apologise   And then go,-0.7833333333333333,0.85
Andrews has caused this madness - forensic analysis by J_C_Campbell https:wwwheraldsuncomaunewsopinionjames-campbellthe-mad-decisions-daniel-andrews-team-keep-making-must-stopnews-story13e09c402503082a9ca76be4bf699aa3 …,0.0,0.0
Very much looking forward to speaking on BBCWorld radio very soon about the ongoing Covid-19 crisis in Victoria,0.23,0.28
⁦theheraldsun⁩ nails its front page tomorrow pictwittercomLRV9a1stqV,0.0,0.0
No It’s a disaster that’s causing tragedy and economic catastrophe And those responsible haven’t apologised or taken responsibility,0.2,0.375
I always told you lot about Brendan but you have taken a while  😊,0.0,0.0
You HAVE rewarded dangerous behaviour that contradicted the Covid-19 directions from the CHO 9997 protesters weren’t fined in June at that ridiculous protest you barely did anything to stop https:twittercomjennymikakosstatus1290576004121915393 …,-0.29444444444444445,0.6666666666666666
How about apologising ? https:twittercomDanielAndrewsMPstatus1290595771482423297 …,0.0,0.0
You have an obligation to be accountable to the parliament & you’ve refused to answer questions because your failures as a Minister have caused tragedy and economic catastrophe Your use of the word ‘reward’ is paternalistic  condescending and arrogant What planet are you on ? https:twittercomJennyMikakosstatus1290576004121915393 …,0.2,0.2
Important story by rwillingham about how in the middle of a pandemic the Health Minister refused to answer questions about the second wave of this virus and be held to account by the parliament https:mobileabcnetaunews2020-08-04victorian-coronavirus-advice-parliament-sits-jenny-mikakos12523614 …,0.13333333333333333,0.3333333333333333
This is the same Minister that did absolutely nothing to dissuade thousands of people from ignoring the directions of the CHO and protest through the streets of Melbourne in June When will JennyMikakos take responsibility for her role in the hotel quarantine fiasco and resign? https:twittercom9newsmelbstatus1290562487977414656 …,0.1,0.5125
Democracy can’t be suspended  because we are in a pandemic Ministers must be held accountable for their failures This is shameful as JennyMikakos is part of the gang of 8 and the greatest public administration failure in Australian history - the hotel quarantine fiasco https:twittercomrwillinghamstatus1290489270013050887 …,0.17083333333333334,0.3416666666666667
Really looking forward to to speaking with BenFordhamLive on 2GB873 very soon from Dan’s disaster zone - Melbourne,0.2,0.25
Obviously yes,0.0,0.5
No  the Victorian Parliament doesn’t allow it I have asked,0.0,0.0
Answering the office phone and emailing me the message 🤷‍♀️?,0.0,0.0
I’m happy to reply You leave my mum out of this Out of the goodness of her heart she volunteered in my office  didn’t get paid a cent  and was only on the system because she needed an email address Your attack is about as low as you can get,0.26666666666666666,0.7666666666666666
and not the police and ADF like every other state NSW has not had 1 transmission of Covid from hotel quarantine into the community Once it got into the community Victoria’s contract tracing was abysmal Look at NSW they’re dealing with their cases so efficiently,-0.125,0.375
Andrews is trying to the blame the people  and he’s right  a small minority of Victorians are doing the wrong thing I can’t believe 25% of infected persons visited by the ADF weren’t home 🤬  But the cause of this second wave was his government using untrained security guards,-0.11607142857142858,0.45892857142857146
 https:wwwtheaustraliancomaucommentaryeditorialsoutbreak-exposes-failures-in-leadership-and-systemsnews-story11e5f3dbe9e64db2f34c3def38f00b24 …,0.0,0.0
The social distancing in that video is poor  but that’s not the reason Victoria is in a mess We’re in this mess because of the failures of hotel quarantine by the Andrews govt Facts are stubborn things  so please don’t forget what caused this catastrophe  massive govt failure https:twittercomsumeyyailanbeystatus1289738106225098752 …,-0.17222222222222225,0.38611111111111107
If they have no legal rights to remain in the United Kingdom 🇬🇧  send them home   HM’s government should state that it  as the elected government of the UK  will decide who comes to the UK and the circumstances in which they come,-0.1,0.2
Sneaked out very late on a Friday night  now former Deputy CHO Dr Van Diemen  has been either sacked or sent sideways Looks like the deck chairs are being shuffled The Health Minister should be sacked not just the Deputy CHO  incompetence all round pictwittercomPoEL0jvZoE,-0.19666666666666668,0.39333333333333337
Looking forward to speaking with marklevy2gb on NewsTalk4BC after the 5pm news ,0.0,0.0
If people with Covid-19 don’t have the sense to remain in iso at home they should be compulsorily placed in quarantine at their own expense or fined for leaving home Had Andrews deployed resources to this vital task earlier  Vic wouldn’t be in the midst of tragedy & catastrophe https:twittercombridgerollostatus1289005010714419201 …,0.2333333333333333,0.6333333333333333
These goons must have the book thrown at them  and how disrespectful protesting at the Shrine The BLM protesters in June should have had the book thrown at them too Instead there was an utterly pathetic response that still annoys many Victorians who have abided by the rules https:twittercompaulbentleymelbstatus1288960661695819776 …,-0.25,0.75
NSW CHO confirms all NSW active cases can be traced back to Victoria  & we know from Victoria’s CHO that all those cases came from hotel quarantine failures in Melbourne Aside from the ongoing tragedy here  the national implications of this entirely preventable debacle is huge https:twittercomBenFordhamLivestatus1288946888541052929 …,0.06666666666666668,0.53125
On 2GB after 6am news but always love to have a chat with you on Melbourne’s own 3AW693 ,0.55,0.8
Really looking forward to talking with BenFordhamLive on 2GB873 after the 6am news ,0.2,0.2
Apologies all  there were gremlins in the IT at Sky  the joys of doing interviews remotely 🤦🤬 https:twittercomtimsmithmpstatus1288754319894839297 …,-0.1,0.2
Looking forward to speaking with Peta Credlin on SkyNewsAust with my good friend and colleague r_riordanmp very soon ,0.44999999999999996,0.45000000000000007
Omg 🤦 https:twittercomheidimurstatus1288644077949313026 …,0.0,0.0
I’ll bet Daniel Andrews can’t wait to watch to this a bit like last time his government featured on 60Mins  but this time hopefully his friends are forced to resign like JennyMikakos rather than his factional enemies https:twittercom60Minsstatus1288394915882270720 …,-0.15000000000000002,0.13333333333333333
Locals are furious after two Kew gum trees are chopped down after Multinet Gas severed the roots of magnificent trees I will be taking this further to ensure Multinet Gas is held to account https:wwwheraldsuncomaunewsvictoriaboroondara-council-blames-multinet-gas-worker-for-destroying-kew-treesnews-storyf1807718c7ccb22fc04b0dec7d352961 …,0.2814814814814815,0.5962962962962963
Local residents are furious that Multinet Gas so severely damaged some magnificent trees that  on safety grounds  Boroondara has had to remove them I’ll be making a formal complaint to ewov ensuring Multinet Gas is held accountable for the destruction of 2 beautiful trees https:twittercomrolfepstatus1288377077935169540 …,0.38749999999999996,0.55
No wonder the amapresident is calling for a Royal Commission into the ongoing and tragic fiasco in Victoria https:twittercomtomsteinfortstatus1288295703215652864 …,-0.75,0.75
One of the key reasons Victorians have had to wait so long for their Covid-19 teat results Just a reminder  the Premier has been in office for 6 years He’s also a former health minister,-0.016666666666666666,0.4666666666666666
Extraordinary 🤦🏻‍♂️🤷‍♀️🤬 🇦🇺Chief Scientist Alan Finkel discovered private pathology labs still have to manually phone in results to the Victorian Department of Health and Human Services  unlike automated email systems used in other states https:www9newscomaunationalcoronavirus-greg-hunt-interview-aged-care-residents-turned-away-from-overcrowded-victorian-public-hospitalsd6f67c17-731e-4e9f-bf50-000f6594694e …,0.05208333333333333,0.4625
🤦🏻‍♂️ https:twittercomSimoLovestatus1288024865727905797 …,0.0,0.0
Andrews was advised by the Secretary of the Federal Department of Health Brendan Murphy to move elderly residents to hospital LAST WEEK but he didn’t Now he tries to blame the fed govt for a 2nd wave caused by his govt’s appalling handling of quarantine https:wwwnewscomaulifestylehealthhealth-problemsdaniel-andrews-deadly-mistake-in-victorias-aged-care-coronavirus-crisis-has-been-revealednews-story919a5aa86c04757e18e7311b09db4749 …,-0.11249999999999999,0.3416666666666667
We all must obey the law No one enjoys wearing a mask but the police don’t make the law the state government does  so if you’re annoyed about having to wear a mask direct your annoyance at the state govt & not the  police Please respectfully follow lawful directions by police,0.04999999999999999,0.47500000000000003
No wonder the people of Victoria are confused  afraid and angry   Our Premier spent another day blaming the people of Victoria for the second wave of Covid-19   He won’t take responsibility for his own failures  so he blames you   His mixed messaging has caused mass confusion pictwittercom9oAPX8rpF0,-0.14285714285714285,0.5642857142857143
Thank you Felicity  https:twittercomjeff_kennettstatus1286587821755527168 …,0.0,0.0
For all the abuse I’ve received about masks there you go twitter it’s on and with aptly themed background music Good work SimoLove - we can’t go out on a Friday night but we can still have a laugh https:twittercomSimoLovestatus1286554206124429313 …,0.5333333333333333,0.5666666666666668
Why haven’t they been doing this for months? Had Andrews allowed the ADF into Victoria months ago they would have had the resources(if resourcing was the problem)to knock on doors of infected people  to make sure they were isolating  within 1 day  per national cabinet directions https:twittercomheidimurstatus1286477047053705217 …,0.5,0.8888888888888888
So the state government hasn’t been following up infected people they couldn’t reach by phoneuntil NOW ? They were meant to contact them within 24 hours  what an absolute scandal This is simply negligent No wonder this virus has spiralled out of control https:twittercomheidimurstatus1286476625886842881 …,0.06666666666666667,0.4523809523809524
Yes https:twittercomsunriseon7status1286410247381192704 …,0.0,0.0
If someone is smoking that’s a lawful excuse for not wearing a 😷 but if they’re walking the 🐕 they have to wear one 🤷‍♂️ Do you think that’s odd? Btw given the hysterics from some at the ABC about masks I reckon you’re going to look like hypocrites for not wearing them on air https:twittercommjrowland68status1286039564604252160 …,-0.07222222222222223,0.09999999999999999
Looking forward to discussing the ongoing coronavirus debacle in Victoria with BenFordhamLive on 2GB873 after the 6am news,0.0,0.0
Funnily enough ‘mystery pigeon’ 😂 I think you’re a liar,0.0,0.5
Great to see MatthewGuyMP back in the saddle on SkyNewsAust  giving a Master Class on how to sink the boots into Daniel Andrews and Labor https:twittercomSkyNewsAuststatus1285926089609510917 …,0.4,0.375
The cause of the second wave is hotel quarantine failures by the Andrews Labor government As you say facts matter  and the CHO has made it quite clear what caused Victoria’s second wave See below TonyBarry pictwittercomshRCIrc3OG,0.03333333333333334,0.12777777777777777
Daniel Andrews and ministers; MartinPakulaMP  LisanevilleMP  JennyMikakos  are responsible for this catastrophic failure that has resulted in the 2nd wave   Security guards for hotel quarantine were hired via WhatsApp and then given no training  You couldn’t make this up https:twittercomabc730status1285508138691514368 …,-0.038888888888888896,0.2833333333333334
The consequences of hiring security guards by WhatsApp and giving them no training in managing hotel quarantine with people infected with Covid-19 3000 new cases  a second wave  another lockdown and compulsory mask wearing All completely avoidable if Andrews had used the ADF https:twittercomabc730status1285509726092947456 …,0.07878787878787878,0.28484848484848485
Typically lazy or deliberately misleading nonsense from  ellenmfanning I told BenFordhamLive on 2GB873 compulsory masks at supermarkets or public transport are “perfectly reasonable”Thanks to Chris Kenny for calling out ellenmfanning on SkyNewsAust  https:wwwfacebookcom57886636727posts10157508578251728?vh=e …,0.037500000000000006,0.4666666666666666
Well said John   I’ve no doubt you’re about to be trolled like never before   We live in a democracy  It’s an obligation of the media and the opposition in parliament to hold the government of the day to account https:twittercomfergusonjwstatus1285451185923620864 …,0.13636363636363635,0.5
No I haven’t That is a complete lie,0.1,0.4
Not a chance Well said TB,0.0,0.0
Michael  if you want to ask me about my criticisms of the Andrews Labor govt & their responsibility for the greatest public health failure in the nation’s history; resulting in multiple deaths  thousands of new cases  costing the Vic economy $1billion a week  then give me a call,0.16393939393939394,0.36424242424242426
Maybe had this been the approach by the Andrews Labor government and Victoria Police in the lead up to the BLM protest in Melbourne on 6 June  Victora wouldn’t currently be in the horrendous position we find ourselves Dandemic springst https:twittercomBenFordhamLivestatus1284959356916625408 …,0.0,0.4
Looking forward to talking with BenFordhamLive on 2GB873 very soon ,0.2,0.3
1000’s of infected Victorians have not been contact traced This Dandemic has been caused by gross negligence of the Andrews Labor government The hotel quarantine fiasco let the virus 🦠 back into the community & now we are all to be muzzled dandemic https:wwwheraldsuncomaucoronavirusclose-contacts-of-confirmed-coronavirus-cases-in-victoria-are-falling-through-the-cracksnews-story380bd6eda9cf34254bc05428a9b6b55e …,0.0,0.0
We’re not in this mess because the Andrews govt eased restrictions the day after Mother’s Day   Victoria’s 2nd wave  costing lives  has been caused by what would be criminal negligence or manslaughter if the state govt was a private company by failing to manage hotel quarantine https:twittercomlhilakaristatus1284779206937767939 …,-0.14375,0.275
We are not in this mess because the Andrews government eased restrictions the day after Mother’s Day   The 2nd wave costing lives has been caused by what would be criminal negligence or manslaughter if the state govt was a private company by failing to manage hotel quarantine,-0.14375,0.275
The inquiry into Labor’s hotel quarantine fiasco is a cover up   Council Assisting will be instructed by lawyers provided by the Victorian Government Solicitor’s Office Slight conflict?  Unlikely that ministers will be called as witnesses  what a joke  https:amptheagecomaunationalvictoriaas-the-enemy-advances-who-s-in-charge-of-victoria-s-defences-20200717-p55d26html?__twitter_impression=true …,-0.3333333333333333,0.3333333333333333
Victorians are being compulsorily masked in public because of the Andrews Labor government’s failures to manage hotel quarantine and contact tracing   Victorians are bearing a huge burden becuase of the most catastrophic public administration failure in Australian history https:twittercom9NewsMelbstatus1284762288948301825 …,0.09722222222222225,0.3055555555555556
You’re paid to be impartial right ? Why are you telling a state opposition MP to be quiet ?,0.14285714285714285,0.43452380952380953
Chairman Dan is at it again Stupid rules that reasonable people will rightly regard as having no impact on combatting the spread of the virus Why do many Melbournians  particularly women like walkingrunning the Tan? Because it’s lit at night and there are no cars - it’s safe pictwittercomXe5jSKg48m,0.1420634920634921,0.5781746031746032
Looking forward to speaking with peterstefanovic on SkyNewsAust very soon ,0.2,0.3
The most striking observation Twomey makes is this; “the Kerr-Palace letters  instead of showing that the Palace interfered in the dismissal of the Whitlam government  showed that Whitlam sought palace interference  but didn’t get it We are an independent country after all”,0.3333333333333333,0.5416666666666666
If you want a genuinely objective appraisal of the ‘Palace Letters’ read this by Prof Anne Twomey There is no ideological nonsense in this article  Twomey says it’s “categorically clear that the Queen had no advanced knowledge (of the dismissal)” https:wwwsmhcomaunationalmost-surprising-of-the-palace-letters-shines-new-light-on-whitlam-20200713-p55bpwhtml …,-0.03333333333333333,0.3611111111111111
What a load of complete nonsense palaceletters should read Professor Anne Twomey’s column in the smh https:twittercomSkyNewsAuststatus1283215800631881731 …,0.1,0.4
Not one guilty Labor Minister has taken responsibility for this fiasco that caused Victoria’s second wave of Covid-19 Chairman Dan  Martin Pakula  Lisa Neville and Jenny Mikakos all must lose their jobs because their incompetence will cost thousands of Victorians theirs https:twittercom9NewsMelbstatus1282928098560946176 …,-0.25,0.5
The Andrews Labor Govt has completely stuffed up Victoria’s response to Covid-19 This is an extraordinary revelation that will have many Victorians wondering what else have they stuffed up and then covered up ?  The Covid fiasco continues in Victoria 🤦🏼‍♀️ https:twittercom9NewsMelbstatus1282588176314511361 …,0.3111111111111111,0.6333333333333333
Victoria's Chief Health Officer told ABC radio that most  if not all  of Victoria's second wave came from a hotel quarantine outbreak   Had Daniel Andrews & Labor used the ADF & Victoria Police  instead of bouncers  we wouldn't be in Lockdown 20   Labor-the same Guilty Party pictwittercomgrPWbrwKcQ,0.0,0.40625
Looking forward to talking with DeeDeeDunleavy on 3AW693 after the 1pm news ,0.0,0.0
Is the state government taking hotel quarantine seriously now?   Is Andrews & the CHO abiding by directions of the National Cabinet and are the police and ADF managing hotel quarantine  with no bouncers ?  The answer is no   The govt caused this mess  not the general public https:twittercomheidimurstatus1282126718174523392 …,-0.11458333333333331,0.3520833333333333
Home schooling is again being forced on mums and dads by Daniel Andrews This will be very difficult for many    Remember this second wave of Covid-19 was caused by Daniel Andrews refusing to use the ADF to manage hotel quarantine  Instead  he used bouncers from the local pub https:twittercomjodilee_7status1282118633502597121 …,-0.09000000000000001,0.33999999999999997
Daniel Andrews’ Covid catastrophe: What went wrong in Victoriagreat analysis in today’s ⁦theheraldsun⁩ by Patrick Carlyon Victoria’s second wave of Covid-19 was caused by horrendous and avoidable errors by this Labor Government https:wwwheraldsuncomaunewsvictoriahow-a-catalogue-of-failures-turned-victoria-into-a-virus-timebombnews-storyda01b73b37ce3c88eb18c3f8c73bb15d …,-0.25,0.45
Looks like Pakula knows the result of the state hotel quarantine inquiry without it even beginning this whole fiasco stinks https:wwwtheaustraliancomaunationpoliticscoronavirus-australia-union-jobs-for-hotel-quarantine-claim-rejected-by-victorian-jobs-minister-martin-pakulanews-storyaf8288d835398a2fe71234fbe22e902d …,-0.19999999999999998,0.45
As DavidDavisMLC said about the fake Victorian inquiry;  “a whitewash designed to shield the Premier and his key ministers from scrutiny”  “The inquiry is clearly designed to direct the questions to agencies and shield ministers; it’s a cover-up” https:wwwheraldsuncomaucoronaviruslimitations-of-inquiry-into-victorias-bungled-hotel-quarantine-may-stop-truth-from-surfacingnews-story34ce5d144aacfacf13412991d333caac …,-0.07499999999999998,0.6958333333333333
Thankfully the federal government is now holding a legitimate and transparent review into the hotel quarantine fiasco by the Andrews government The Victorian review reeks of a cover up https:wwwafrcompoliticsfederalanz-director-to-lead-national-quarantine-probe-20200710-p55ayo …,0.0,0.0
Insulting language again from Andrews and his team today - ramping up the blame on Victorians for the second wave:   Make no mistake Victoria is in this mess because of the debacle created by this Labor government’s inability to manage hotel quarantine https:wwwheraldsuncomaunewsopinionpaul-dimattina-business-owners-will-get-through-this-crisis-but-we-need-helpnews-storyd57cfe1ed14ed0dbbcaa441c43a3075b …,-0.39166666666666666,0.39166666666666666
 pictwittercomCBx1ElNg6C,0.0,0.0
Andrews arrogance risks nation’s recovery - my column in today’s AusOpinion This is the lockdown Victorians should never have had to have https:wwwtheaustraliancomaucommentaryandrews-arrogance-puts-nations-recovery-at-risknews-storyb7e733ca7fee52cb84082e92521b439f …,0.0,0.0
It might be early  but as always  looking forward to talking to BenFordhamLive on 2GB873 to discuss the lockdown Victoria shouldn’t have to have,0.1,0.3
If this incompetent fool of a Premier had managed hotel quarantine with the ADF & not bouncers we wouldn’t be in this position   Andrews should resign   So should MartinPakulaMP  LisanevilleMP and JennyMikakos   Labor has failed VictoriansThey truly are the Guilty Party https:twittercomMedia_Mattstatus1280376577985966085 …,-0.45,0.5555555555555556
Could you imagine the ABC’s response if these towers had been locked down by a Coalition govt ?,-0.15555555555555559,0.2888888888888889
$35 million for KPMG consultants 🤦🏼‍♀️to help organise the most shambolic response to Covid-19 of any state in Australia No value for money Ridiculously expensive What have the public servants been doing? Did these consultants contribute to the hotel quarantine fiasco ? https:twittercomrachelbaxendalestatus1280276684093054976 …,0.0,0.4222222222222222
We are the pariahs of Australia Exiled from our own country Locked down  locked out - a national embarrassment  why ? Because a second wave of Covid-19 started becuase Andrews stuffed up hotel quarantine  used untrained bouncers  not the ADF  and the virus took off again pictwittercomBDDZKr3wmy,0.14814814814814814,0.42962962962962964
Apparently Housing Minister Richard Wynne lives 50 metres from the locked down public housing towers  so Dick  get out of bed  walk over to the flats and sort out this mess you’ve created People are not getting what they need  & they’re not being told what’s going on Fix it  https:twittercomSkyNewsAuststatus1280242737803976705 …,-0.07013888888888889,0.22013888888888888
Victorians are officially the pariahs of 🇦🇺NSW will close the border We are banned from the rest of 🇦🇺 because the utter negligence of Daniel Andrews and his Ministers Their  failure to properly manage hotel quarantine has resulted in a second wave https:wwwtheagecomaunationalvictoria-nsw-border-to-shut-from-midnight-on-tuesday-20200706-p559cvhtml …,-0.07916666666666668,0.35000000000000003
My interview on ABC NewsRadio Breakfast this morning with Sandy Aloisi https:wwwabcnetauradionewsradiovictorian-opposition-slams-extreme-and12424760 …,0.0,0.0
Don’t punish rural communities on either side of the Murray River for Daniel Andrews’ incompetence in Melbourne Keep the VicNSW border open My interview with BenFordhamLive on 2GB873 https:twittercom2GB873status1279892049764872192 …,0.0,0.25
Looking forward to talking with BenFordhamLive on 2GB873 right now ,0.2857142857142857,0.5357142857142857
You couldn’t make this up,0.0,0.0
Yes,0.0,0.0
Great piece by 3AWNeilMitchell   “Daniel Andrews must call in the ADF He needs guards They know how to guard He needs medical capabilityThey have doctors and nurses  He needs Victoria police to be freed from the non-policing work so they can concentrate on law and order” https:twittercom9NewsMelbstatus1279667577615028227 …,0.4,0.375
You couldn’t make this up  🤦🏻‍♂️   Why won’t this panicked state Labor government just call out the ADF   liked they had initially planned to ? https:twittercommoniquehorestatus1279592104444887041 …,0.3,0.4
This is unacceptable Andrews Labor has essentially placed these residents under house arrest how will they get food and basic necessities? billshortenmp is right Andrews must start clearly communicating with residents  “there’s a bit of catch up to communicate with people” https:twittercomRemyVargastatus1279624574288556032 …,0.06714285714285714,0.2688095238095238
Victoria is losing the fight against Covid-19 because of the incompetence of Andrews and his gang of 8 https:wwwtheaustraliancomaucommentaryvictorian-government-losing-the-fight-to-contain-coronavirusnews-story48f29c64f1403ec8af18938a70c92aa5 …,0.0,0.0
As VCOSS just tweeted the Andrews Labor govt must ensure residents of these public housing estates must guarantee;  Every tenant knows what’s going on   Every tenant understands why it’s happening  and that  Every tenant is given the support they need,0.0,0.06666666666666667
The Andrews Labor Govt couldn’t manage hotel quarantine without it becoming a national embarrassment How is Labor going to successfully lock down 9 towers with some of the most disadvantaged Victorians without stuffing it up and potentially horrendous consequences ? https:twittercom9NewsMelbstatus1279325937729810432 …,0.3088888888888889,0.7177777777777778
This front page in today’s theheraldsun by s_deery proves that LisanevilleMP lied to 3AWNeilMitchell in her interview on 1 July When will she front the media and explain ? She can’t be questioned by us - parliament doesn’t sit until August  https:wwwheraldsuncomaucoronavirusleaked-email-exposes-victorias-plea-to-adf-during-hotel-quarantine-fiasconews-story0e915ba61f4b38b4ff643ec410ab6f75 …,0.3,0.0
Is anyone at this press conference with Andrews going to ask a follow up from s_deery front page today which showed this interview given by  LisanevilleMP on 3AW693 on 1 July was full of lies about calling out the ADF to manage hotel quarantine ? https:www3awcomaupolice-minister-says-military-deployment-in-quarantine-hotels-was-never-considered …,0.35,0.55
 pictwittercombyJybR7Rg2,0.0,0.0
 pictwittercomwvDFmOvOuC,0.0,0.0
 pictwittercomx90KYp6K6W,0.0,0.0
And the Minister responsible for Jobs  Precincts and Regions is  Martin Pakula  who has fled the scene   But the buck stops with the Premier   His refusal to answer simple questions is making him look more devious  cowardly and out of touch  every day his crisis drags on https:twittercomheidimurstatus1278870821256101888 …,0.2333333333333333,0.4690476190476191
Looking forward to speaking with Peter Stefanovic on SkyNewsAust very soon ,0.2,0.3
 pictwittercomPvRgbUIPI8,0.0,0.0
Labor’s hotel quarantine fiasco caused Victoria’s second wave of Covid-19  Labor is the Guilty Party pictwittercomKGDWtgomx0,-0.25,0.5
We don’t need another inquiry  we demand Daniel Andrews and his 3 responsible Ministers for this fiasco  JennyMikakos  MartinPakulaMP  LisanevilleMP to admit their culpability for this crisis & resign Private ‘bouncers’ must be replaced with the ADF & police like in NSW ASAP https:twittercomDHughesystatus1277936911340822530 …,0.1,0.4625
